# NPC=-507372189
kjell_*|kjell_cutscene,kjell_sword,kjell_guitar
fishing_spot*|fishing_spot_meiyerditch_tunnels,fishing_spot_xmas_2010_2,fishing_spot_ranging_guild,fishing_spot_small_net_bait_catherby,fishing_spot_rellekka_4,fishing_spot_ardougne,fishing_spot_ape_atoll_2,fishing_spot_entrana_2,fishing_spot_rellekka,fishing_spot_small_net_bait_draynor,fishing_spot_xmas_2010_7,fishing_spot_ranging_guild_4,fishing_spot_miscellania,fishing_spot_jatizso,fishing_spot_lumbridge_swamp,fishing_spot_xmas_2010_5,fishing_spot_burgh_de_rott_2,fishing_spot_musa_point_2,fishing_spot_tutorial_island,fishing_spot_braindeath_island,fishing_spot_entrana,fishing_spot_xmas_2010_10,fishing_spot_fishing_guild,fishing_spot_mudskipper_point,fishing_spot_rellekka_2,fishing_spot_xmas_2010_11,fishing_spot_lure_bait_lumbridge,fishing_spot_cage_harpoon_catherby,fishing_spot_lumbridge_swamp_caves,fishing_spot_xmas_2010_15,fishing_spot_fisher_realm,fishing_spot_xmas_2010_4,fishing_spot_baxtorian_falls,fishing_spot_big_net_harpoon_feldip_hills,fishing_spot_ranging_guild_2,fishing_spot_xmas_2010_9,fishing_spot_dorgesh_kaan_agility_course,fishing_spot_mort_myre_swamp,fishing_spot_musa_point,fishing_spot_tai_bwo_wannai,fishing_spot_harpoon_small_net_piscatoris,fishing_spot_mort_myre_swamp_3,fishing_spot_lumbridge_swamp_caves_2,fishing_spot_xmas_2010_13,fishing_spot_karamja_jungle_instance,fishing_spot_brimhaven,fishing_spot_isafdar,fishing_spot_small_net_bait_feldip_hills,fishing_spot_shilo_village,fishing_spot_barbarian_village,fishing_spot_fishing_platform,fishing_spot_karamja_jungle_instance_2,fishing_spot_dorgesh_kaan_agility_course_2,fishing_spot_baxtorian_falls_2,fishing_spot_wilderness,fishing_spot_taverley_dungeon,fishing_spot_ape_atoll,fishing_spot_xmas_2010,fishing_spot_tree_gnome_stronghold,fishing_spot_xmas_2010_6,fishing_spot_river_elid_cave,fishing_spot_small_net_bait_lumbridge,fishing_spot_observatory,fishing_spot_burgh_de_rott,fishing_spot_ranging_guild_3,fishing_spot_xmas_2010_8,fishing_spot_enchanted_valley,fishing_spot_cage_harpoon_feldip_hills,fishing_spot_big_net_harpoon_catherby,fishing_spot_cage_harpoon_fishing_guild,fishing_spot_sinclair_mansion,fishing_spot_rellekka_3,fishing_spot_xmas_2010_12,fishing_spot_iorwerth_camp,fishing_spot_crayfish_lumbridge,fishing_spot_rellekka_5,fishing_spot_xmas_2010_3,fishing_spot_mort_myre_swamp_2,fishing_spot_jatizso_2,fishing_spot_xmas_2010_14,fishing_spot_wilderness_bandit_camp,fishing_spot_barbarian_outpost
dororan_*|dororan_after_quest2,dororan_after_cutscene,dororan_cutscene,dororan_after_quest,dororan_after_cutscene2,dororan_sad
osman_*|osman_dishevelled,osman_kharidian_desert,osman_normal
door_support*|door_support_south_fall,door_support_north_fall,door_support_east,door_support_east_fall,door_support_east_fallen,door_support_north,door_support_south,door_support_south_fallen,door_support_north_fallen
goblin_*_green|goblin_shield_battleaxe_green,goblin_staff_2_green,goblin_staff_green,goblin_shield_spear_green,goblin_mohawk_staff_green,goblin_spiked_green,goblin_shield_warhammer_green,goblin_bald_green
border_guard_al_kharid*|border_guard_al_kharid,border_guard_al_kharid_2
bartender_rusty_anchor_inn*|bartender_rusty_anchor_inn_2,bartender_rusty_anchor_inn,bartender_rusty_anchor_inn_3
cow_*|cow_default,cow_zanaris,cow_calf_2,cow_calf,cow_brown_2,cow_light_spots,cow_light_spots_2,cow_calf_3,cow_2,cow_brown
desert_lizard*|desert_lizard_yellow,desert_lizard_green,desert_lizard_orange
small_lizard*|small_lizard_green,small_lizard_orange
chieftain_gunthor_*|chieftain_gunthor_cutscene,chieftain_gunthor_icon
musician*|musician_edgeville,musician_al_kharid,musician_port_khazard,musician_sophanem_1,musician_falador,musician_port_sarim,musician_mountain_camp,musician_miscellania,musician_tai_bwo_wannai,musician_cooks_guild,musician_shantay_pass,musician_rellekka,musician_yanille,musician_fishing_guild,musician_lumber_yard,musician_piscatoris,musician_isafdar,musician_gower_farm,musician_sophanem,musician_draynor_village,musician_sophanem_2,musician_shilo_village,musician_fenkenstrains_castle,musician_lumbridge,musician_catherby
autumn_elemental*|autumn_elemental_5,autumn_elemental,autumn_elemental_2,autumn_elemental_4,autumn_elemental_6,autumn_elemental_3
sheep*|sheep_black,sheep_zanaris,sheep_light_3_shorn,sheep_light_monastery_2_shorn,sheep_shorn,sheep_light_monastery_1_shorn,sheep_light_4,sheep_light_monastery_2,sheep_light_2,sheep_light_5,sheepdog,sheep_black_shorn,sheep_light_5_shorn,sheep_zanaris_2,sheep_light_6_shorn,sheep_light_1_shorn,sheep_penguin,sheep_light_3,sheep_light_6,sheep_black_feet_shorn,sheep_light_2_shorn,sheep_2,sheep_light_monastery_1,sheep_light_1,sheep_black_feet,sheep_2_shorn,sheep,sheep_light_4_shorn
captain_tobias*|captain_tobias,captain_tobias_1,captain_tobias_2
summer_elemental*|summer_elemental_4,summer_elemental,summer_elemental_2,summer_elemental_6,summer_elemental_3,summer_elemental_5
lumbridge_man*|lumbridge_man_2,lumbridge_man_5,lumbridge_man_7,lumbridge_man_3,lumbridge_man_6,lumbridge_man_4,lumbridge_man
winter_elemental*|winter_elemental_2,winter_elemental_5,winter_elemental_3,winter_elemental_4,winter_elemental,winter_elemental_6
wizard_cromperty_*|wizard_cromperty_ardougne,wizard_cromperty_ardougne_2,wizard_cromperty_normal
gudrun*|gudrun,gudrun_after_cutscene2,gudrun_after_quest2,gudrun_cutscene,gudrun_after_quest,gudrun2,gudrun_after_cutscene
surok_magis_*|surok_magis_falador_2,surok_magis_dagon_hai,surok_magis_falador,surok_magis_varrock,surok_magis_normal,surok_magis_varrock_2,surok_magis_falador_3
*lizard|swamp_lizard,lizard,cave_lizard
sir_gerry_*|sir_gerry_normal
*_penguin|cactus_penguin,rock_penguin,barrel_penguin,snowman_penguin,bush_penguin,pumpkin_penguin,toadstool_penguin,crate_penguin,sheep_penguin,macaroni_penguin
seaman_thresnor*|seaman_thresnor_2,seaman_thresnor,seaman_thresnor_1
# OBJECT=-2003610876
rickety_door*|rickety_door,rickety_door_mirrored
gate_of_war*|gate_of_war_mirrored,gate_of_war
slayer_tower_entrance_door_*_opened|slayer_tower_entrance_door_east_opened,slayer_tower_entrance_door_west_opened
cooking_range*|cooking_range_al_kharid,cooking_range_lumbridge_castle,cooking_range_lumbridge
loom_*|loom_falador_farm
wilderness_obelisk_*|wilderness_obelisk_stealing_creation,wilderness_obelisk_rogues_castle,wilderness_obelisk_lava_maze,wilderness_obelisk_graveyard_of_shadows,wilderness_obelisk_glow,wilderness_obelisk_bandit_camp,wilderness_obelisk_frozen_waste_plateau
prayer_altar_*|prayer_altar_camelot,prayer_altar_limestone_zamorak,prayer_altar_mahogany_guthix_offer,prayer_altar_marble_saradomin_offer,prayer_altar_oak_guthix,prayer_altar_lumbridge,prayer_altar_oak_zamorak_offer,prayer_altar_entrana_bag,prayer_altar_cloth_zamorak,prayer_altar_gilded_saradomin,prayer_altar_limestone_saradomin_offer,prayer_altar_teak_zamorak_offer,prayer_altar_goblin_temple_corner,prayer_altar_varrock_church,prayer_altar_cloth_saradomin_offer,prayer_altar_entrana,prayer_altar_mahogany_zamorak,prayer_altar_guilded_saradomin_offer,prayer_altar_teak_zamorak,prayer_altar_guilded_zamorak_offer,prayer_altar_mahogany_saradomin_offer,prayer_altar_cloth_guthix_offer,prayer_altar_oak_zamorak,prayer_altar_lumbridge_copy,prayer_altar_gorilla_statue,prayer_altar_marble_guthix,prayer_altar_teak_saradomin,prayer_altar_mahogany_guthix,prayer_altar_witchaven,prayer_altar_oak_saradomin,prayer_altar_sophanem,prayer_altar_teak_guthix,prayer_altar_marble_guthix_offer,prayer_altar_chaos_wilderness,prayer_altar_warped_construction,prayer_altar_port_sarim_church,prayer_altar_mahogany_zamorak_offer,prayer_altar_chaos_ourania,prayer_altar_cloth_zamorak_offer,prayer_altar_nature,prayer_altar_chaos_underground_pass,prayer_altar_frozen_construction,prayer_altar_frozen,prayer_altar_marble_saradomin,prayer_altar_occult_construction,prayer_altar_chaos_yanille_agility_dungeon,prayer_altar_teak_guthix_offer,prayer_altar_marble_zamorak,prayer_altar_stealing_creation,prayer_altar_ardougne,prayer_altar_edgeville,prayer_altar_abandoned,prayer_altar_goblin_temple_base,prayer_altar_limestone_guthix_offer,prayer_altar_chaos_varrock,prayer_altar_furnished_construction,prayer_altar_teak_saradomin_offer,prayer_altar_mahogany_saradomin,prayer_altar_entrana_star,prayer_altar_cloth_saradomin,prayer_altar_cloth_guthix,prayer_altar_paterdomus_temple,prayer_altar_oak_saradomin_offer,prayer_altar_lletya,prayer_altar_sophanem_large,prayer_altar_duel_arena,prayer_altar_limestone_saradomin,prayer_altar_oak_guthix_offer,prayer_altar_gilded_zamorak,prayer_altar_limestone_zamorak_offer,prayer_altar_well_of_voyage,prayer_altar_marble_zamorak_offer,prayer_altar_gilded_guthix,prayer_altar_furnished,prayer_altar_abandoned_construction,prayer_altar_guilded_guthix_offer,prayer_altar_limestone_guthix,prayer_altar_zaros,prayer_altar_normal,prayer_altar_goblin_temple
*_bank_leaflet|lumbridge_bank_leaflet
portal_of_death*|portal_of_death,portal_of_death_mirrored
water_trough*|water_trough_8,water_trough_10,water_trough_11,water_trough,water_trough_7,water_trough_6,water_trough_5,water_trough_2,water_trough_9,water_trough_3,water_trough_12,water_trough_4
*_stall|gem_stall,fish_stall,general_stall,silver_stall,spice_stall,crossbow_stall,bakers_stall,food_stall,wine_stall,grey_fur_stall,scimitar_stall,veg_stall,silk_stall,tea_stall,crafting_stall,seed_stall,magic_stall,fur_stall
spirit_tree*|spirit_tree,spirit_tree_stronghold,spirit_tree_farming,spirit_tree_gnome
spinning_wheel*|spinning_wheel_lumbridge,spinning_wheel_seers_village
slayer_tower_door*_closed|slayer_tower_door_mirror_closed,slayer_tower_door_closed
*_altar_ruins|cosmic_altar_ruins,blood_altar_ruins,blank_mind_altar_ruins,death_altar_ruins,blank_blood_altar_ruins,body_altar_ruins,blank_water_altar_ruins,blank_body_altar_ruins,blank_death_altar_ruins,blank_cosmic_altar_ruins,water_altar_ruins,chaos_altar_ruins,blank_law_altar_ruins,fire_altar_ruins,nature_altar_ruins,earth_altar_ruins,blank_air_altar_ruins,blank_earth_altar_ruins,air_altar_ruins,law_altar_ruins,blank_nature_altar_ruins,mind_altar_ruins,blank_fire_altar_ruins,blank_chaos_altar_ruins
fairy_ring_*|fairy_ring_dorgesh_kaan_dungeon,fairy_ring_south_of_witchaven,fairy_ring_sparse_plane,fairy_ring_abyss,fairy_ring_miscellania,fairy_ring_penguins_near_miscellania,fairy_ring_ancient_cavern,fairy_ring_karamja_south_of_musa_point,fairy_ring_fairy_queens_hideout,fairy_ring_cosmic_entitys_plane,fairy_ring_south_of_castle_wars,fairy_ring_mos_le_harmless,fairy_ring_kharidian_desert_north_of_nardah,fairy_ring_south_of_tai_bwo_wannai,fairy_ring_edgeville,fairy_ring_haunted_woods_east_of_canifis,fairy_ring_dorgesh_kaan_dungeon_2,fairy_ring_jungle_hunter_area,fairy_ring_tzhaar_area,fairy_ring_sinclair_mansion,fairy_ring_south_west_of_mort_myre,fairy_ring_zanaris_2,fairy_ring_orks_rift,fairy_ring_legends_guild,fairy_ring_gu_tanoth_cave,fairy_ring_mudskipper_point,fairy_ring_mort_myre_south_of_canifis,fairy_ring_jungle_spiders_near_yanille,fairy_ring_wizards_tower,fairy_ring_ape_atoll,fairy_ring_ardougne_zoo,fairy_ring_tower_of_life,fairy_ring_poison_waste_south_of_isafdar,fairy_ring_piscatoris_hunter_area,fairy_ring_kharidian_desert_near_kalphite_hive,fairy_ring_mcgrubors_wood,fairy_ring_snowy_hunter_area,fairy_ring_zanaris,fairy_ring_north_west_of_yanille,fairy_ring_south_of_draynor_village,fairy_ring_canifis,fairy_ring_goraks_plane,fairy_ring_south_east_of_rellekka,fairy_ring_realm_of_the_fisher_king
canoe_station_*|canoe_station_2,canoe_station_lumbridge,canoe_station_water_log,canoe_station_stable_dugout,canoe_station_dugout,canoe_station_water_waka,canoe_station_fallen,canoe_station_edgeville,canoe_station_barbarian_village,canoe_station_champions_guild,canoe_station_water_stable_dugout,canoe_station_11,canoe_station_8,canoe_station_10,canoe_station_water_dugout,canoe_station_9,canoe_station_waka,canoe_station_log
web*|web_slashed,web_spider,web
furnace*|furnace_al_kharid,furnace_lumbridge,furnace_edgeville
toll_gate_al_kharid*|toll_gate_al_kharid_south,toll_gate_al_kharid_prince_ali_north_opened,toll_gate_al_kharid_south_opened,toll_gate_al_kharid_north_opened,toll_gate_al_kharid_north,toll_gate_al_kharid_prince_ali_north_closed,toll_gate_al_kharid_prince_ali_opened,toll_gate_al_kharid_south_closed,toll_gate_al_kharid_prince_ali_closed,toll_gate_al_kharid_north_closed
potters_wheel*|potters_wheel,potters_wheel_4,potters_wheel_2,potters_wheel_3
oozing_barrier*|oozing_barrier_mirrored,oozing_barrier
sink*|sink_19,sink_1,sink_5,sink_11,sink_15,sink_22,sink,sink_9,sink_21,sink_18,sink_8,sink_6,sink_25,sink_27,sink_26,sink_kringk,sink_7,sink_24,sink_13,sink_20,sink_3,sink_2,sink_10,sink_28,sink_17,sink_23,sink_14,sink_29,sink_30,sink_4
bank_*|bank_booth_nardah,bank_booth_mos_le_harmless,bank_booth_keldagrim,bank_booth_seers_village,bank_booth_zanaris,bank_booth_lumbridge,bank_booth_void_knights_outpost,bank_chest_castle_wars,bank_deposit_box,bank_booth_lumbridge_instance,bank_booth_lunar_isle,bank_booth_burgh_de_rott,bank_booth_living_rock_cavern,bank_booth_al_kharid,bank_booth_fishing_guild,bank_chest_soul_wars,bank_booth_sophanem,bank_booth_dorgesh_kaan,bank_booth_classic,bank_booth_oo_glog,bank_booth_port_phasmatys,bank_booth_canifis,bank_chest_neitiznot,bank_booth_varrock,bank_booth_falador,bank_booth_thieves_guild,bank_booth_tutorial_island,bank_booth_ardougne,bank_booth_edgeville
well*|well_3,well_7,well_6,well_5,well,well_1,well_20,well_13,well_10,well_4,well_8,well_11,well_12,well_2,well_stacked_rocks,well_9
trapdoor_*_opened|trapdoor_89_opened,trapdoor_ahoy_opened,trapdoor_24_opened,trapdoor_109_opened,trapdoor_85_opened,trapdoor_108_opened,trapdoor_44_opened,trapdoor_105_opened,trapdoor_91_opened,trapdoor_83_opened,trapdoor_49_opened,trapdoor_103_opened,trapdoor_76_opened,trapdoor_106_opened,trapdoor_101_opened,trapdoor_20_opened,trapdoor_87_opened,trapdoor_107_opened,trapdoor_16_opened,trapdoor_38_opened,trapdoor_80_opened,trapdoor_draynor_opened,trapdoor_10_opened
pottery_oven*|pottery_oven_rellekka,pottery_oven_east_ardougne,pottery_oven_crafting_guild,pottery_oven
*_chest|coin_chest,dorgesh_kaan_chest,ardougne_castle_chest,steel_arrows_chest,nature_chest,blood_rune_chest,lumbridge_closed_chest,dorgesh_kaan_gem_chest,big_coin_chest
altar*|altar_dessert_treasure,altar_of_guthix_druidic_ritual,altar_love_story
shilo_village_waterfall_stepping_stone_*|shilo_village_waterfall_stepping_stone_south,shilo_village_waterfall_stepping_stone_north,shilo_village_waterfall_stepping_stone_middle
table*|table_lumbridge_kitchen,table_large_lumbridge,table_lumbridge,table_large_lumbridge_kitchen,table_j_mod,table_port_sarim,table_old_wizards_tower
*_altar|nature_altar,body_altar,death_altar,air_altar,fire_altar,law_altar,mind_altar,water_altar,earth_altar,blood_altar,cosmic_altar,ourania_altar,chaos_altar
wilderness_wall_*|wilderness_wall_3,wilderness_wall_2,wilderness_wall_4,wilderness_wall_1,wilderness_wall_5
anvil*|anvil,anvil_lumbridge,anvil_blast_Furnace,anvil_keldagrim,anvil_dorics
brimhaven_vine_*|brimhaven_vine_1,brimhaven_vine_2,brimhaven_vine_3,brimhaven_vine_4
crashed_star_tier_#|crashed_star_tier_8,crashed_star_tier_4,crashed_star_tier_2,crashed_star_tier_3,crashed_star_tier_9,crashed_star_tier_1,crashed_star_tier_5,crashed_star_tier_7,crashed_star_tier_6
direction_signpost_*|direction_signpost_3,direction_signpost_2,direction_signpost_1
gnome_obstacle_pipe_*|gnome_obstacle_pipe_west,gnome_obstacle_pipe_east
trapdoor_*_closed|trapdoor_87_closed,trapdoor_38_closed,trapdoor_107_closed,trapdoor_101_closed,trapdoor_49_closed,trapdoor_76_closed,trapdoor_44_closed,trapdoor_10_closed,trapdoor_draynor_closed,trapdoor_91_closed,trapdoor_83_closed,trapdoor_85_closed,trapdoor_ahoy_closed,trapdoor_24_closed,trapdoor_80_closed,trapdoor_89_closed,trapdoor_105_closed,trapdoor_103_closed,trapdoor_20_closed,trapdoor_108_closed,trapdoor_106_closed,trapdoor_16_closed
prayer_*_altar_godwars|prayer_bandos_altar_godwars,prayer_zamorak_altar_godwars,prayer_saradomin_altar_godwars,prayer_armadyl_altar_godwars
*_demon_statuette|jade_demon_statuette,ruby_demon_statuette,emerald_demon_statuette,taken_demon_statuette,topaz_demon_statuette,diamond_demon_statuette,sapphire_demon_statuette
canoe_station_water_*|canoe_station_water_log,canoe_station_water_waka,canoe_station_water_stable_dugout,canoe_station_water_dugout
fountain*|fountain_12,fountain_16,fountain_of_heroes,fountain_large,fountain_30,fountain_23,fountain_27,fountain_small,fountain_15,fountain_13,fountain_2,fountain_22,fountain_28,fountain_8,fountain_fairy,fountain_29,fountain_9,fountain_14,fountain_18,fountain_21,fountain_31,fountain_7,fountain_20,fountain_3,fountain_ornamental,fountain_sinclair_family,fountain,fountain_11,fountain_17,fountain_19,fountain_24,fountain_26,fountain_4,fountain_6,fountain_carved,fountain_32,fountain_ornamental_2,fountain_33,fountain_5,fountain_25
polar_bear_well*|polar_bear_well_rimmington,polar_bear_well_rellekka,polar_bear_well_ardougne,polar_bear_well_falador,polar_bear_well_varrock,polar_bear_well_musa_point
godwars_knight*|godwars_knight_base,godwars_knight
pump_and_drain*|pump_and_drain_2,pump_and_drain_3,pump_and_drain
fire_*|fire_altar_ruins_enter,fire_altar_portal,fire_red,fire_orange,fire_barbarian_village,fire_purple,fire_altar,fire_altar_ruins,fire_green,fire_blue,fire_white,fire_rift
# INTERFACE=1636419204
*_spellbook|modern_spellbook,ancient_spellbook,lunar_spellbook,dungeoneering_spellbook
toplevel*|toplevel,toplevel_full
make_mould*|make_mould_slayer,make_mould
dialogue_npc*|dialogue_npc_chat_np4,dialogue_npc_chat_np2,dialogue_npc_chat_np3,dialogue_npc_chat_np1,dialogue_npc_chat_np1u,dialogue_npc_chat4,dialogue_npc_chat_np3u,dialogue_npc_chat1,dialogue_npc_chat_np4u,dialogue_npc_chat_np2u,dialogue_npc_chat2,dialogue_npc_chat3
warning_*|warning_godwars_wilderness_agility_route,warning_ranging_guild_tower,warning_lumbridge_cellar,warning_chaos_tunnels_west,warning_trollheim_wilderness_entrance,warning_mort_myre,warning_chaos_tunnels_east,warning_dorgesh_kaan_city_exit,warning_dorgesh_kaan_kalphite_tunnel,warning_ham_mill_tunnel,warning_kalphite_queen,warning_stronghold_of_security_ladders,warning_death_plateau,warning_player_owned_houses,warning_contact_dungeon_ladder,warning_lumbridge_swamp_cave_rope,warning_chaos_tunnels_central,warning_random_event_dropped_items,warning_watchtower_shaman_cave,warning_shantay_pass,warning_observatory_stairs,warning_living_rock_caverns,warning_elid_genie_cave,warning_mole_lair,warning_lots_of_items,warning_wilderness,warning_dorgesh_kaan_fairy_ring,warning_dagannoth_kings_ladder,warning_duel,warning_icy_path_area
# COMPONENT=66456759
bank:tab_#|bank:tab_3,bank:tab_6,bank:tab_5,bank:tab_9,bank:tab_2,bank:tab_8,bank:tab_4,bank:tab_1,bank:tab_7
task_list:hint_*|task_list:hint_5,task_list:hint_3,task_list:hint_1,task_list:hint_2,task_list:hint_4
task_system:task_*|task_system:task_3,task_system:task_2,task_system:task_6,task_system:task_4,task_system:task_5,task_system:task_1,task_system:task_list
